6 features , max_depth = 6
00,0.28
01,0.6522
02,0.5078
03,0.7836
04,0.8088
05,0.8604
06,0.8532
07,0.9128
08,0.9122
09,0.9314
10,0.9146
11,0.9146
12,0.9338
13,0.9358
14,0.9266
15,0.928
16,0.9592
17,0.947
18,0.9514
19,0.9106
20,0.9456
21,0.9568
22,0.9506
23,0.9538
24,0.95
25,0.9468
26,0.9568
27,0.96
28,0.9578
29,0.9554

6 features , max_depth = 12

00,0.9046
01,0.943
02,0.9488
03,0.9552
04,0.9578
05,0.9576
06,0.9568
07,0.9594
08,0.9576
09,0.9588
10,0.9598
11,0.9584
12,0.9582
13,0.9606
14,0.955
15,0.9592
16,0.9578
17,0.9586
18,0.958
19,0.9574
20,0.9574
21,0.9598
22,0.9584
23,0.9582
24,0.9564
25,0.9574
26,0.957
27,0.959
28,0.9558
29,0.9574

12 features , max_depth = 6

00,0.3574
01,0.61
02,0.6732
03,0.7334
04,0.9048
05,0.8558
06,0.8486
07,0.8694
08,0.8728
09,0.8892
10,0.9006
11,0.9246
12,0.9122
13,0.9432
14,0.9458
15,0.956
16,0.9426
17,0.9262
18,0.9446
19,0.9448
20,0.9532
21,0.9238
22,0.9504
23,0.956
24,0.957
25,0.9412
26,0.9442
27,0.9558
28,0.956
29,0.9466

12 features , max_depth = 12

00,0.8578
01,0.9082
02,0.9564
03,0.9552
04,0.9614
05,0.9604
06,0.957
07,0.956
08,0.9614
09,0.9578
10,0.9624
11,0.9564
12,0.9612
13,0.96
14,0.9602
15,0.9618
16,0.963
17,0.9584
18,0.9592
19,0.962
20,0.963
21,0.9608
22,0.96
23,0.9612
24,0.9606
25,0.9614
26,0.96
27,0.9604
28,0.9604
29,0.9608
