n_estimator,rf,cpon
1,0.28,0.9434
2,0.6522,0.9434
3,0.5078,0.9434
4,0.7836,0.9434
5,0.8088,0.9434
6,0.8604,0.9434
7,0.8532,0.9434
8,0.9128,0.9434
9,0.9122,0.9434
10,0.9314,0.9434
11,0.9146,0.9434
12,0.9146,0.9434
13,0.9338,0.9434
14,0.9358,0.9434
15,0.9266,0.9434
16,0.928,0.9434
17,0.9592,0.9434
18,0.947,0.9434
19,0.9514,0.9434
20,0.9106,0.9434
21,0.9456,0.9434
22,0.9568,0.9434
23,0.9506,0.9434
24,0.9538,0.9434
25,0.95,0.9434
26,0.9468,0.9434
27,0.9568,0.9434
28,0.96,0.9434
29,0.9578,0.9434
30,0.9554,0.9434
