10-fold(numpy.average)
size	type	cpon	svm	knn
50	dtoa	0.938	0.816	0.782
50	toa	0.964	0.842	0.858
50-6	dtoa	0.930	0.868	0.870
50-6	toa	0.960	0.850	0.892
100	dtoa	0.948	0.804	0.708
100	toa	0.959	0.841	0.774

2-fold(numpy.average)
size	type	cpon	svm	knn
50	dtoa	0.950	0.780	0.740
50	toa	0.960	0.860	0.860
50-6	dtoa	0.940	0.820	0.860
50-6	toa	0.960	0.870	0.900
100	dtoa	0.950	0.815	0.715
100	toa	0.950	0.835	0.775

10-fold(sum(x)/len(x))
size	type	cpon	svm	knn
50	dtoa	0.936	0.828	0.762
50	toa	0.960	0.846	0.852
50-6	dtoa	0.942	0.862	0.854
50-6	toa	0.966	0.850	0.896
100	dtoa	0.949	0.812	0.724
100	toa	0.961	0.839	0.778

2-fold(sum(x)/len(x))
size	type	cpon	svm	knn
50	dtoa	0.94	0.73	0.72
50	toa	0.96	0.84	0.79
50-6	dtoa	0.94	0.82	0.85
50-6	toa	0.96	0.89	0.88
100	dtoa	0.95	0.805	0.695
100	toa	0.95	0.84	0.755
